id;name;type;is sub-project of;organization;category;client;invoice contact;standard calendar;project code;contract code;client code;sponsor;manager;issuer;creation date;last update;color;description;objectives;validated start date;planned start date;real start date;requested start date;validated end date;planned end date;real end date;requested end date;validated duration;planned duration;real duration;requested duration;validated work;assigned work;real work;left work;revised work;validated cost;assigned cost;real cost;left cost;revised cost;validated expenses;assigned expenses;real expenses;left expenses;revised expenses;risk reserve amount;total validated costs;total assigned costs;total real costs;total left costs;total revised costs;progress;expected;wbs;work margin;work margin (%);cost margin;cost margin (%);priority;strength;weakness;opportunity;threats;status;strategic value;return on investment;risk level;health status;quality level;trend;overall progress;fix planning;paused;non extendable project;allow reduction;under construction;exclude from global plan;validated work treatment;in progress;start date;done;done date;closed;closed date;cancelled;AM start time;AM end time;PM start time;PM end time;
57;"Management";"Internal";"General Management";"Iberia SSC";"";"";"";"default";"";"";"";"";"Alfonso Barrios";"Nieves Fraile";2024-06-18;2024-06-18 09:29:58;"";"";"";;;2024-06-21;;;2025-11-13;;;;354;0;;0,00;0,00;116,13;0,00;116,13;;;;;;;;;;;;;;;;;100;0;"5.1";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
58;"IB";"Internal";"Management";"Iberia SSC";"";"";"";"default";"";"";"";"";"Alfonso Barrios";"Nieves Fraile";2024-06-18;2024-06-18 10:01:54;"";"";"";;;2024-06-21;;;2025-11-12;;;;353;0;;0,00;0,00;22,31;0,00;22,31;;;;;;;;;;;;;;;;;100;0;"5.1.1";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
59;"UK";"Internal";"Management";"Iberia SSC";"";"";"";"default";"";"";"";"";"Alfonso Barrios";"Nieves Fraile";2024-06-18;2024-06-18 10:02:12;"";"";"";;;2024-07-09;;;2025-11-05;;;;336;0;;0,00;0,00;7,22;0,00;7,22;;;;;;;;;;;;;;;;;100;0;"5.1.2";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
60;"DE";"Internal";"Management";"Iberia SSC";"";"";"";"default";"";"";"";"";"Alfonso Barrios";"Nieves Fraile";2024-06-18;2024-06-18 10:02:26;"";"";"";;;2024-07-09;;;2025-10-14;;;;320;0;;0,00;0,00;3,81;0,00;3,81;;;;;;;;;;;;;;;;;100;0;"5.1.3";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
61;"BE";"Internal";"Management";"Iberia SSC";"";"";"";"default";"";"";"";"";"Alfonso Barrios";"Nieves Fraile";2024-06-18;2024-06-18 10:02:54;"";"";"";;;2024-07-15;;;2025-10-30;;;;328;0;;0,00;0,00;2,00;0,00;2,00;;;;;;;;;;;;;;;;;100;0;"5.1.4";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
62;"FR";"Internal";"Management";"Iberia SSC";"";"";"";"default";"";"";"";"";"Alfonso Barrios";"Nieves Fraile";2024-06-18;2024-06-18 10:03:03;"";"";"";;;2024-06-26;;;2025-11-07;;;;347;0;;0,00;0,00;4,22;0,00;4,22;;;;;;;;;;;;;;;;;100;0;"5.1.5";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
63;"NL";"Internal";"Management";"Iberia SSC";"";"";"";"default";"";"";"";"";"Alfonso Barrios";"Nieves Fraile";2024-06-18;2024-06-18 09:40:27;"";"";"";;;2024-06-21;;;2025-10-27;;;;341;0;;0,00;0,00;4,50;0,00;4,50;;;;;;;;;;;;;;;;;100;0;"5.1.6";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
64;"IT";"Internal";"Management";"Iberia SSC";"";"";"";"default";"";"";"";"";"Alfonso Barrios";"Nieves Fraile";2024-06-18;2024-06-18 10:03:13;"";"";"";;;2024-08-06;;;2025-10-08;;;;296;0;;0,00;0,00;1,88;0,00;1,88;;;;;;;;;;;;;;;;;100;0;"5.1.7";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
65;"Cross Tasks";"Internal";"Management";"Iberia SSC";"";"";"";"default";"";"";"";"";"Alfonso Barrios";"Nieves Fraile";2024-06-18;2024-06-18 09:43:04;"";"";"";;;2024-06-21;;;2025-11-13;;;;354;0;;0,00;0,00;70,19;0,00;70,19;;;;;;;;;;;;;;;;;100;0;"5.1.8";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
66;"Human Resources";"Internal";"General Management";"Iberia SSC";"";"";"";"default";"";"";"";"";"María Mongil Gonzalez";"Nieves Fraile";2024-06-18;2024-06-18 09:48:03;"";"";"";;;2024-06-25;;;2024-08-26;;;;43;0;;0,00;0,00;31,44;0,00;31,44;;;;;;;;;;;;;;;;;100;0;"5.2";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
67;"Continuous Improvement Office";"Internal";"General Management";"Iberia SSC";"";"";"";"default";"";"";"";"";"Nieves Fraile";"Nieves Fraile";2024-06-18;2024-06-18 09:50:30;"";"";"";;;2024-06-18;;;2025-11-13;;;;357;0;;0,00;0,00;348,34;0,00;348,34;;;;;;;;;;;;;;;;;100;0;"5.3";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
